,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
0,KJ Abbott,2015-2015,4,1,0,12,12,12.00,63.15,-,-,-,South Africa
1,Afsar Zazai,2015-2015,6,6,0,36,19,6.00,36.36,-,-,2,Afghanistan
2,Aftab Alam,2015-2015,1,1,0,14,14,14.00,116.66,-,-,-,Afghanistan
3,Ahmed Shehzad,2015-2015,7,7,0,227,93,32.42,72.52,-,2,1,Pakistan
4,MM Ali,2015-2015,5,5,0,192,128,38.40,105.49,1,-,-,England
5,Amjad Ali,2015-2015,6,6,0,96,45,16.00,51.89,-,-,-,United Arab Emirates
6,Amjad Javed,2015-2015,6,6,1,170,56,34.00,87.17,-,1,-,United Arab Emirates
7,Anamul Haque,2015-2015,3,2,0,58,29,29.00,59.18,-,-,-,Bangladesh
8,JM Anderson,2015-2015,6,3,1,9,8,4.50,60.00,-,-,1,England
9,Arafat Sunny,2015-2015,1,1,1,3,3*,-,100.00,-,-,-,Bangladesh
10,Asghar Afghan,2015-2015,5,5,0,72,54,14.40,75.78,-,1,-,Afghanistan
11,GJ Bailey,2015-2015,1,1,0,55,55,55.00,79.71,-,1,-,Australia
12,A Balbirnie,2015-2015,6,6,0,236,97,39.33,90.76,-,2,-,Ireland
13,GS Ballance,2015-2015,4,4,0,36,10,9.00,50.70,-,-,-,England
14,F Behardien,2015-2015,4,2,2,74,64*,-,205.55,-,1,-,South Africa
15,IR Bell,2015-2015,6,6,1,262,63,52.40,77.28,-,3,-,England
16,SJ Benn,2015-2015,3,2,1,10,9*,10.00,142.85,-,-,-,West Indies
17,AR Berenger,2015-2015,6,6,0,53,22,8.83,47.74,-,-,-,United Arab Emirates
18,RD Berrington,2015-2015,6,6,0,139,50,23.16,75.95,-,1,-,Scotland
19,RS Bopara,2015-2015,1,-,0,-,-,-,0.00,-,-,-,England
20,DM Bravo,2015-2015,2,2,1,49,49*,49.00,62.82,-,-,1,West Indies
21,SCJ Broad,2015-2015,6,4,1,13,9,4.33,65.00,-,-,1,England
22,JC Buttler,2015-2015,6,5,1,141,65,35.25,135.57,-,1,-,England
23,JL Carter,2015-2015,5,4,1,113,50*,37.66,70.62,-,1,-,West Indies
24,RW Chakabva,2015-2015,4,4,0,64,35,16.00,66.66,-,-,-,Zimbabwe
25,PVD Chameera,2015-2015,2,2,2,14,12*,-,100.00,-,-,-,Sri Lanka
26,LD Chandimal,2015-2015,3,1,1,52,52*,-,216.66,-,1,-,Sri Lanka
27,J Charles,2015-2015,2,2,0,58,55,29.00,126.08,-,1,-,West Indies
28,TL Chatara,2015-2015,6,5,2,23,16,7.66,65.71,-,-,1,Zimbabwe
29,CJ Chibhabha,2015-2015,4,4,0,98,64,24.50,66.21,-,1,-,Zimbabwe
30,E Chigumbura,2015-2015,4,4,1,78,35,26.00,101.29,-,-,-,Zimbabwe
31,KJ Coetzer,2015-2015,6,6,0,253,156,42.16,89.71,1,1,2,Scotland
32,FRJ Coleman,2015-2015,3,3,0,77,70,25.66,79.38,-,1,1,Scotland
33,MH Cross,2015-2015,6,6,0,88,23,14.66,73.33,-,-,-,Scotland
34,PJ Cummins,2015-2015,2,1,1,7,7*,-,23.33,-,-,-,Australia
35,AR Cusack,2015-2015,4,4,3,19,11,19.00,82.60,-,-,-,Ireland
36,JH Davey,2015-2015,6,6,2,55,26,13.75,62.50,-,-,-,Scotland
37,Dawlat Zadran,2015-2015,5,4,0,14,9,3.50,35.89,-,-,1,Afghanistan
38,TM Dilshan,2015-2015,7,7,1,395,161*,65.83,96.57,2,1,2,Sri Lanka
39,GH Dockrell,2015-2015,6,5,2,54,25,18.00,63.52,-,-,-,Ireland
40,XJ Doherty,2015-2015,1,1,1,-,0*,-,0.00,-,-,-,Australia
41,Ehsan Adil,2015-2015,2,1,0,15,15,15.00,68.18,-,-,-,Pakistan
42,CR Ervine,2015-2015,6,6,0,159,52,26.50,88.33,-,1,-,Zimbabwe
43,AC Evans,2015-2015,4,4,2,38,28,19.00,66.66,-,-,-,Scotland
44,Fahad Alhashmi,2015-2015,1,-,0,-,-,-,0.00,-,-,-,United Arab Emirates
45,ST Finn,2015-2015,4,3,1,2,1*,1.00,13.33,-,-,1,England
46,HJW Gardiner,2015-2015,3,3,0,24,19,8.00,45.28,-,-,1,Scotland
47,CH Gayle,2015-2015,6,6,0,340,215,56.66,117.24,1,1,-,West Indies
48,Gulbadin Naib,2015-2015,1,1,0,-,0,0.00,0.00,-,-,1,Afghanistan
49,AM Guruge,2015-2015,4,3,3,14,10*,-,53.84,-,-,-,United Arab Emirates
50,AD Hales,2015-2015,2,2,0,64,37,32.00,95.52,-,-,-,England
51,Hamid Hassan,2015-2015,6,6,2,38,16,9.50,44.18,-,-,2,Afghanistan
52,RM Haq,2015-2015,4,4,0,47,31,11.75,58.75,-,-,1,Scotland
53,Haris Sohail,2015-2015,6,6,0,177,70,29.50,72.24,-,1,1,Pakistan
54,HMRKB Herath,2015-2015,4,1,0,13,13,13.00,68.42,-,-,-,Sri Lanka
55,JO Holder,2015-2015,7,4,1,155,57,51.66,112.31,-,2,-,West Indies
56,Imrul Kayes,2015-2015,3,3,0,9,5,3.00,25.71,-,-,-,Bangladesh
57,Javed Ahmadi,2015-2015,6,6,0,97,51,16.16,79.50,-,1,-,Afghanistan
58,DPMD Jayawardene,2015-2015,7,5,0,125,100,25.00,74.40,1,-,1,Sri Lanka
59,CJ Jordan,2015-2015,2,1,0,-,0,0.00,0.00,-,-,1,England
60,EC Joyce,2015-2015,6,6,0,246,112,41.00,98.40,1,1,1,Ireland
61,Kamran Shazad,2015-2015,1,1,0,-,0,0.00,0.00,-,-,1,United Arab Emirates
62,TP Kamungozi,2015-2015,3,2,2,6,6*,-,66.66,-,-,-,Zimbabwe
63,FDM Karunaratne,2015-2015,4,2,0,37,23,18.50,69.81,-,-,-,Sri Lanka
64,PHT Kaushal,2015-2015,1,1,0,-,0,0.00,0.00,-,-,1,Sri Lanka
65,Khurram Khan,2015-2015,6,6,0,155,45,25.83,73.11,-,-,-,United Arab Emirates
66,Krishna Chandran,2015-2015,5,5,0,38,34,7.60,34.23,-,-,3,United Arab Emirates
67,KMDN Kulasekara,2015-2015,3,3,1,29,18*,14.50,72.50,-,-,-,Sri Lanka
68,B Kumar,2015-2015,1,-,0,-,-,-,0.00,-,-,-,India
69,RAS Lakmal,2015-2015,4,1,1,7,7*,-,41.17,-,-,-,Sri Lanka
70,MA Leask,2015-2015,2,2,1,25,23*,25.00,138.88,-,-,-,Scotland
71,AR McBrine,2015-2015,3,1,1,2,2*,-,50.00,-,-,-,Ireland
72,MJ McClenaghan,2015-2015,1,-,0,-,-,-,0.00,-,-,-,New Zealand
73,MW Machan,2015-2015,6,6,0,186,56,31.00,80.86,-,1,-,Scotland
74,CS MacLeod,2015-2015,6,6,0,48,22,8.00,76.19,-,-,2,Scotland
75,Mahmudullah,2015-2015,6,6,1,365,128*,73.00,81.83,2,1,-,Bangladesh
76,SL Malinga,2015-2015,7,4,1,4,3,1.33,33.33,-,-,1,Sri Lanka
77,MR Marsh,2015-2015,3,3,0,31,23,10.33,100.00,-,-,1,Australia
78,H Masakadza,2015-2015,6,6,0,122,80,20.33,75.77,-,1,-,Zimbabwe
79,Mashrafe Mortaza,2015-2015,5,4,1,28,14,9.33,121.73,-,-,-,Bangladesh
80,AD Mathews,2015-2015,7,5,0,195,51,39.00,89.86,-,1,-,Sri Lanka
81,S Matsikenyeri,2015-2015,1,1,0,19,19,19.00,82.60,-,-,-,Zimbabwe
82,BMAJ Mendis,2015-2015,2,2,1,13,9*,13.00,61.90,-,-,-,Sri Lanka
83,NO Miller,2015-2015,1,-,0,-,-,-,0.00,-,-,-,West Indies
84,AF Milne,2015-2015,6,2,1,1,1*,1.00,20.00,-,-,1,New Zealand
85,SF Mire,2015-2015,5,5,0,64,27,12.80,61.53,-,-,-,Zimbabwe
86,Mirwais Ashraf,2015-2015,2,2,0,38,28,19.00,80.85,-,-,-,Afghanistan
87,Misbah-ul-Haq,2015-2015,7,7,0,350,76,50.00,75.10,-,4,-,Pakistan
88,Mohammad Irfan,2015-2015,5,3,3,4,2*,-,21.05,-,-,-,Pakistan
89,Mohammad Nabi,2015-2015,6,6,0,90,44,15.00,78.26,-,-,-,Afghanistan
90,Mohammad Naveed,2015-2015,6,6,2,73,23*,18.25,123.72,-,-,-,United Arab Emirates
91,Mohammad Tauqir,2015-2015,6,5,2,8,3,2.66,18.60,-,-,-,United Arab Emirates
92,Mominul Haque,2015-2015,2,2,0,4,3,2.00,66.66,-,-,-,Bangladesh
93,PL Mommsen,2015-2015,6,6,0,148,60,24.66,76.28,-,1,2,Scotland
94,JF Mooney,2015-2015,6,6,2,51,13,12.75,78.46,-,-,-,Ireland
95,EJG Morgan,2015-2015,6,5,0,90,46,18.00,64.74,-,-,2,England
96,T Mupariwa,2015-2015,3,3,1,19,18,9.50,172.72,-,-,1,Zimbabwe
97,Mushfiqur Rahim,2015-2015,6,6,0,298,89,49.66,105.67,-,3,-,Bangladesh
98,Najibullah Zadran,2015-2015,6,6,1,123,56,24.60,78.84,-,1,-,Afghanistan
99,Nasir Aziz,2015-2015,2,1,0,60,60,60.00,69.76,-,1,-,United Arab Emirates
100,Nasir Hossain,2015-2015,3,2,0,46,35,23.00,112.19,-,-,-,Bangladesh
101,Nasir Jamal,2015-2015,1,1,0,17,17,17.00,32.69,-,-,-,Afghanistan
102,Nasir Jamshed,2015-2015,3,3,0,5,4,1.66,21.73,-,-,1,Pakistan
103,Nawroz Mangal,2015-2015,6,6,0,108,33,18.00,51.67,-,-,-,Afghanistan
104,KJ O'Brien,2015-2015,6,6,0,131,50,21.83,100.00,-,1,1,Ireland
105,NJ O'Brien,2015-2015,6,6,1,199,79*,39.80,109.34,-,2,-,Ireland
106,T Panyangara,2015-2015,6,5,0,29,10,5.80,56.86,-,-,-,Zimbabwe
107,WD Parnell,2015-2015,1,1,1,17,17*,-,60.71,-,-,-,South Africa
108,SP Patil,2015-2015,6,6,1,140,57*,28.00,55.33,-,1,-,United Arab Emirates
109,MDKJ Perera,2015-2015,2,2,0,27,24,13.50,117.39,-,-,-,Sri Lanka
110,NLTC Perera,2015-2015,6,4,1,62,47*,20.66,144.18,-,-,1,Sri Lanka
111,WTS Porterfield,2015-2015,6,6,0,275,107,45.83,67.23,1,1,-,Ireland
112,S Prasanna,2015-2015,2,2,0,12,9,6.00,75.00,-,-,-,Sri Lanka
113,Rahat Ali,2015-2015,5,2,1,7,6*,7.00,25.92,-,-,-,Pakistan
114,D Ramdin,2015-2015,7,6,1,107,51,21.40,70.86,-,1,2,West Indies
115,KAJ Roach,2015-2015,3,1,1,-,0*,-,0.00,-,-,-,West Indies
116,Rohan Mustafa,2015-2015,4,4,0,8,4,2.00,27.58,-,-,1,United Arab Emirates
117,JE Root,2015-2015,6,5,0,202,121,40.40,84.16,1,-,-,England
118,Rubel Hossain,2015-2015,6,4,3,-,0*,0.00,0.00,-,-,1,Bangladesh
119,AD Russell,2015-2015,7,6,2,104,42*,26.00,185.71,-,-,1,West Indies
120,Sabbir Rahman,2015-2015,6,6,1,182,53,36.40,98.37,-,1,-,Bangladesh
121,Samiullah Shinwari,2015-2015,6,6,0,254,96,42.33,57.20,-,2,-,Afghanistan
122,DJG Sammy,2015-2015,7,5,0,177,89,35.40,100.00,-,1,-,West Indies
123,MN Samuels,2015-2015,7,7,1,230,133*,38.33,77.18,1,-,1,West Indies
124,KC Sangakkara,2015-2015,7,7,2,541,124,108.20,105.87,4,-,-,Sri Lanka
125,Saqlain Haider,2015-2015,1,1,0,7,7,7.00,58.33,-,-,-,United Arab Emirates
126,Sarfaraz Ahmed,2015-2015,3,3,1,160,101*,80.00,84.65,1,-,-,Pakistan
127,SMSM Senanayake,2015-2015,1,1,0,7,7,7.00,87.50,-,-,-,Sri Lanka
128,Shafiqullah,2015-2015,1,1,0,30,30,30.00,46.87,-,-,-,Afghanistan
129,Shahid Afridi,2015-2015,7,6,1,116,28,23.20,133.33,-,-,1,Pakistan
130,Shaiman Anwar,2015-2015,6,6,0,311,106,51.83,91.47,1,2,-,United Arab Emirates
131,Shapoor Zadran,2015-2015,6,5,5,17,12*,-,80.95,-,-,-,Afghanistan
132,Shakib Al Hasan,2015-2015,6,6,1,196,63,39.20,93.77,-,2,-,Bangladesh
133,Sikandar Raza,2015-2015,6,6,0,125,46,20.83,99.20,-,-,-,Zimbabwe
134,LMP Simmons,2015-2015,7,5,0,173,102,34.60,101.16,1,1,1,West Indies
135,DR Smith,2015-2015,6,6,0,93,31,15.50,80.17,-,-,1,West Indies
136,Sohaib Maqsood,2015-2015,7,6,0,153,50,25.50,86.93,-,1,1,Pakistan
137,Sohail Khan,2015-2015,7,5,1,21,7,5.25,50.00,-,-,-,Pakistan
138,MC Sorensen,2015-2015,3,1,0,22,22,22.00,115.78,-,-,-,Ireland
139,Soumya Sarkar,2015-2015,6,6,0,175,51,29.16,88.38,-,1,-,Bangladesh
140,PR Stirling,2015-2015,6,6,0,159,92,26.50,100.00,-,1,-,Ireland
141,Taijul Islam,2015-2015,1,-,0,-,-,-,0.00,-,-,-,Bangladesh
142,Tamim Iqbal,2015-2015,6,6,0,154,95,25.66,75.86,-,1,1,Bangladesh
143,Taskin Ahmed,2015-2015,6,3,1,1,1,0.50,25.00,-,-,1,Bangladesh
144,BRM Taylor,2015-2015,6,6,0,433,138,72.16,106.91,2,1,-,Zimbabwe
145,JE Taylor,2015-2015,7,3,1,37,15*,18.50,77.08,-,-,-,West Indies
146,RML Taylor,2015-2015,3,3,0,7,4,2.33,38.88,-,-,1,Scotland
147,JWA Taylor,2015-2015,6,6,2,149,98*,37.25,88.69,-,1,1,England
148,WU Tharanga,2015-2015,1,1,0,4,4,4.00,80.00,-,-,-,Sri Lanka
149,HDRL Thirimanne,2015-2015,7,7,1,302,139*,50.33,84.83,1,2,1,Sri Lanka
150,SR Thompson,2015-2015,2,2,0,14,12,7.00,82.35,-,-,-,Ireland
151,JC Tredwell,2015-2015,1,-,0,-,-,-,0.00,-,-,-,England
152,Umar Akmal,2015-2015,7,7,1,164,59,27.33,80.39,-,1,1,Pakistan
153,Usman Ghani,2015-2015,2,2,0,12,12,6.00,54.54,-,-,1,Afghanistan
154,Wahab Riaz,2015-2015,7,6,2,83,54*,20.75,97.64,-,1,1,Pakistan
155,I Wardlaw,2015-2015,5,4,2,1,1*,0.50,20.00,-,-,2,Scotland
156,SC Williams,2015-2015,6,6,1,339,96,67.80,109.00,-,4,-,Zimbabwe
157,GC Wilson,2015-2015,6,6,0,141,80,23.50,103.67,-,1,1,Ireland
158,CR Woakes,2015-2015,5,5,2,90,42*,30.00,95.74,-,-,-,England
159,Yasir Shah,2015-2015,1,1,0,13,13,13.00,56.52,-,-,-,Pakistan
160,Younis Khan,2015-2015,3,3,0,43,37,14.33,78.18,-,-,1,Pakistan
161,HM Amla,2015-2015,8,8,0,333,159,41.62,95.14,1,1,-,South Africa
162,CJ Anderson,2015-2015,9,8,1,231,75,33.00,108.45,-,2,1,New Zealand
163,R Ashwin,2015-2015,8,5,4,30,16*,30.00,55.55,-,-,-,India
164,TA Boult,2015-2015,9,2,2,-,0*,-,0.00,-,-,-,New Zealand
165,MJ Clarke,2015-2015,7,6,0,219,74,36.50,96.05,-,2,-,Australia
166,Q de Kock,2015-2015,8,8,1,145,78*,20.71,82.85,-,1,1,South Africa
167,AB de Villiers,2015-2015,8,7,2,482,162*,96.40,144.31,1,3,-,South Africa
168,S Dhawan,2015-2015,8,8,0,412,137,51.50,91.75,2,1,-,India
169,MS Dhoni,2015-2015,8,6,2,237,85*,59.25,102.15,-,2,-,India
170,JP Duminy,2015-2015,6,5,2,164,115*,54.66,102.50,1,-,-,South Africa
171,F du Plessis,2015-2015,7,7,1,380,109,63.33,84.63,1,3,-,South Africa
172,GD Elliott,2015-2015,9,8,1,310,84*,44.28,105.44,-,2,1,New Zealand
173,JP Faulkner,2015-2015,6,4,1,44,21,14.66,176.00,-,-,1,Australia
174,AJ Finch,2015-2015,8,8,0,280,135,35.00,92.10,1,1,1,Australia
175,MJ Guptill,2015-2015,9,9,1,547,237*,68.37,104.58,2,1,-,New Zealand
176,BJ Haddin,2015-2015,8,5,2,126,43,42.00,157.50,-,-,-,Australia
177,JR Hazlewood,2015-2015,5,-,0,-,-,-,0.00,-,-,-,Australia
178,MJ Henry,2015-2015,2,1,0,-,0,0.00,0.00,-,-,1,New Zealand
179,Imran Tahir,2015-2015,8,2,0,8,8,4.00,50.00,-,-,1,South Africa
180,RA Jadeja,2015-2015,8,5,1,57,23*,14.25,96.61,-,-,-,India
181,MG Johnson,2015-2015,8,4,2,31,27*,15.50,155.00,-,-,1,Australia
182,V Kohli,2015-2015,8,8,2,305,107,50.83,81.55,1,-,-,India
183,BB McCullum,2015-2015,9,9,0,328,77,36.44,188.50,-,4,1,New Zealand
184,GJ Maxwell,2015-2015,8,6,1,324,102,64.80,182.02,1,2,-,Australia
185,DA Miller,2015-2015,8,7,2,324,138*,64.80,139.05,1,-,1,South Africa
186,Mohammed Shami,2015-2015,7,3,3,8,4*,-,88.88,-,-,-,India
187,M Morkel,2015-2015,8,2,1,8,6*,8.00,61.53,-,-,-,South Africa
188,VD Philander,2015-2015,4,2,1,10,10*,10.00,125.00,-,-,1,South Africa
189,AM Rahane,2015-2015,8,7,1,208,79,34.66,82.53,-,1,1,India
190,SK Raina,2015-2015,8,6,1,284,110*,56.80,110.07,1,2,-,India
191,L Ronchi,2015-2015,9,7,1,73,29*,12.16,117.74,-,-,1,New Zealand
192,RR Rossouw,2015-2015,6,5,1,210,61*,52.50,116.66,-,2,-,South Africa
193,MM Sharma,2015-2015,8,1,0,-,0,0.00,0.00,-,-,1,India
194,RG Sharma,2015-2015,8,8,1,330,137,47.14,91.66,1,2,1,India
195,SPD Smith,2015-2015,8,7,1,402,105,67.00,91.57,1,4,-,Australia
196,TG Southee,2015-2015,9,3,1,23,12*,11.50,127.77,-,-,1,New Zealand
197,MA Starc,2015-2015,8,3,1,-,0*,0.00,0.00,-,-,2,Australia
198,DW Steyn,2015-2015,8,2,0,17,16,8.50,70.83,-,-,-,South Africa
199,LRPL Taylor,2015-2015,9,9,2,221,56,31.57,61.55,-,1,-,New Zealand
200,DL Vettori,2015-2015,9,6,4,50,16*,25.00,108.69,-,-,-,New Zealand
201,DA Warner,2015-2015,8,8,1,345,178,49.28,120.20,1,-,-,Australia
202,SR Watson,2015-2015,7,7,2,208,67,41.60,106.12,-,2,1,Australia
203,KS Williamson,2015-2015,9,9,2,234,57,33.42,78.00,-,1,-,New Zealand
204,UT Yadav,2015-2015,8,1,0,-,0,0.00,0.00,-,-,1,India
