,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
0,Aftab Alam,2019-2019,3,3,121,2,115,4,28.75,30.2,5.70,3/45,-,-,-,-,Afghanistan
1,MM Ali,2019-2019,5,5,258,-,230,5,46.00,51.6,5.34,3/50,-,-,-,3,England
2,FA Allen,2019-2019,3,3,126,-,122,1,122.00,126.0,5.80,1/44,-,-,-,5,West Indies
3,SW Ambris,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
4,HM Amla,2019-2019,7,-,0,-,-,-,-,-,-,-,-,-,-,4,South Africa
5,Asghar Afghan,2019-2019,6,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
6,Asif Ali,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,1,Pakistan
7,Babar Azam,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,5,Pakistan
8,CR Brathwaite,2019-2019,8,7,264,-,323,9,35.88,29.3,7.34,4/63,-,-,-,1,West Indies
9,DM Bravo,2019-2019,3,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
10,SS Cottrell,2019-2019,9,9,402,2,392,12,32.66,33.5,5.85,4/56,-,-,-,8,West Indies
11,NM Coulter-Nile,2019-2019,5,5,282,2,280,4,70.00,70.5,5.95,2/58,-,-,-,-,Australia
12,Dawlat Zadran,2019-2019,5,5,234,1,288,8,36.00,29.2,7.38,3/85,-,-,-,1,Afghanistan
13,Q de Kock,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,9,South Africa
14,DM de Silva,2019-2019,7,6,222,-,197,5,39.40,44.4,5.32,3/32,-,-,-,-,Sri Lanka
15,S Dhawan,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,-,India
16,JP Duminy,2019-2019,5,4,54,-,61,1,61.00,54.0,6.77,1/15,-,-,-,2,South Africa
17,F du Plessis,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,10,South Africa
18,Fakhar Zaman,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,3,Pakistan
19,N Pradeep,2019-2019,3,3,174,2,157,5,31.40,34.8,5.41,4/31,-,-,-,-,Sri Lanka
20,WIA Fernando,2019-2019,4,-,0,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka
21,ST Gabriel,2019-2019,3,3,123,-,173,2,86.50,61.5,8.43,2/49,-,-,-,-,West Indies
22,CH Gayle,2019-2019,9,4,90,-,80,2,40.00,45.0,5.33,1/8,-,-,-,4,West Indies
23,Gulbadin Naib,2019-2019,9,9,394,2,420,9,46.66,43.7,6.39,3/68,-,-,-,1,Afghanistan
24,Hamid Hassan,2019-2019,5,5,156,3,122,1,122.00,156.0,4.69,1/53,-,-,-,1,Afghanistan
25,Haris Sohail,2019-2019,5,-,0,-,-,-,-,-,-,-,-,-,-,2,Pakistan
26,Hasan Ali,2019-2019,4,4,198,-,256,2,128.00,99.0,7.75,1/67,-,-,-,-,Pakistan
27,Hashmatullah Shahidi,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,2,Afghanistan
28,Hazratullah Zazai,2019-2019,5,-,0,-,-,-,-,-,-,-,-,-,-,2,Afghanistan
29,BE Hendricks,2019-2019,2,1,30,1,25,-,-,-,5.00,-,-,-,-,-,South Africa
30,SO Hetmyer,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,2,West Indies
31,JO Holder,2019-2019,9,8,367,4,343,8,42.87,45.8,5.60,3/42,-,-,-,6,West Indies
32,SD Hope,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,16,West Indies
33,Ikram Alikhil,2019-2019,7,-,0,-,-,-,-,-,-,-,-,-,2,2,Afghanistan
34,Imad Wasim,2019-2019,6,5,234,-,188,2,94.00,117.0,4.82,2/48,-,-,-,1,Pakistan
35,Imam-ul-Haq,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,2,Pakistan
36,Imran Tahir,2019-2019,9,8,456,-,374,11,34.00,41.4,4.92,4/29,-,-,-,2,South Africa
37,KM Jadhav,2019-2019,6,3,36,-,34,-,-,-,5.66,-,-,-,-,4,India
38,FDM Karunaratne,2019-2019,7,1,6,-,7,-,-,-,7.00,-,-,-,-,2,Sri Lanka
39,UT Khawaja,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,5,Australia
40,Kuldeep Yadav,2019-2019,7,7,402,2,337,6,56.16,67.0,5.02,2/32,-,-,-,-,India
41,RAS Lakmal,2019-2019,3,3,96,-,102,-,-,-,6.37,-,-,-,-,-,Sri Lanka
42,E Lewis,2019-2019,5,-,0,-,-,-,-,-,-,-,-,-,-,1,West Indies
43,Litton Das,2019-2019,5,-,0,-,-,-,-,-,-,-,-,-,-,3,Bangladesh
44,Mahmudullah,2019-2019,7,-,0,-,-,-,-,-,-,-,-,-,-,2,Bangladesh
45,SL Malinga,2019-2019,7,7,370,4,373,13,28.69,28.4,6.04,4/43,-,-,-,-,Sri Lanka
46,AK Markram,2019-2019,8,3,72,-,76,1,76.00,72.0,6.33,1/22,-,-,-,5,South Africa
47,SE Marsh,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Australia
48,Mashrafe Mortaza,2019-2019,8,8,336,1,361,1,361.00,336.0,6.44,1/68,-,-,-,3,Bangladesh
49,AD Mathews,2019-2019,7,1,12,-,6,1,6.00,12.0,3.00,1/6,-,-,-,2,Sri Lanka
50,Mehidy Hasan Miraz,2019-2019,7,7,402,-,341,6,56.83,67.0,5.08,2/47,-,-,-,4,Bangladesh
51,BKG Mendis,2019-2019,7,-,0,-,-,-,-,-,-,-,-,-,-,1,Sri Lanka
52,BMAJ Mendis,2019-2019,3,3,67,-,70,-,-,-,6.26,-,-,-,-,-,Sri Lanka
53,DA Miller,2019-2019,6,-,0,-,-,-,-,-,-,-,-,-,-,-,South Africa
54,Mohammad Amir,2019-2019,8,8,438,5,358,17,21.05,25.7,4.90,5/30,1,-,-,2,Pakistan
55,Mohammad Hafeez,2019-2019,8,7,192,1,189,2,94.50,96.0,5.90,1/43,-,-,-,5,Pakistan
56,Mohammad Mithun,2019-2019,3,-,0,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
57,Mohammad Nabi,2019-2019,9,9,436,-,335,10,33.50,43.6,4.61,4/30,-,-,-,5,Afghanistan
58,Mohammad Saifuddin,2019-2019,7,7,348,2,417,13,32.07,26.7,7.18,3/72,-,-,-,1,Bangladesh
59,Mohammad Shahzad,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,2,Afghanistan
60,Mohammed Shami,2019-2019,4,4,211,2,193,14,13.78,15.0,5.48,5/69,1,-,-,3,India
61,CH Morris,2019-2019,8,7,382,5,341,13,26.23,29.3,5.35,3/13,-,-,-,3,South Africa
62,Mosaddek Hossain,2019-2019,7,7,216,-,215,3,71.66,72.0,5.97,2/33,-,-,-,3,Bangladesh
63,Mujeeb Ur Rahman,2019-2019,7,7,347,1,259,7,37.00,49.5,4.47,3/39,-,-,-,2,Afghanistan
64,C Munro,2019-2019,6,1,6,-,9,-,-,-,9.00,-,-,-,-,2,New Zealand
65,Mushfiqur Rahim,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,2,8,Bangladesh
66,Mustafizur Rahman,2019-2019,8,8,433,2,484,20,24.20,21.6,6.70,5/59,2,-,-,1,Bangladesh
67,Najibullah Zadran,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,2,Afghanistan
68,L Ngidi,2019-2019,4,4,198,1,211,7,30.14,28.2,6.39,3/64,-,-,-,1,South Africa
69,Noor Ali Zadran,2019-2019,3,-,0,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
70,AR Nurse,2019-2019,4,2,84,-,86,-,-,-,6.14,-,-,-,-,-,West Indies
71,MDKJ Perera,2019-2019,7,-,0,-,-,-,-,-,-,-,-,-,-,8,Sri Lanka
72,NLTC Perera,2019-2019,6,6,242,1,207,1,207.00,242.0,5.13,1/19,-,-,-,2,Sri Lanka
73,AL Phehlukwayo,2019-2019,9,8,371,2,336,11,30.54,33.7,5.43,2/18,-,-,-,1,South Africa
74,N Pooran,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,1,West Indies
75,D Pretorius,2019-2019,3,3,138,4,94,5,18.80,27.6,4.08,3/25,-,-,-,1,South Africa
76,K Rabada,2019-2019,9,8,468,4,397,11,36.09,42.5,5.08,3/56,-,-,-,3,South Africa
77,Rahmat Shah,2019-2019,9,4,78,-,69,1,69.00,78.0,5.30,1/22,-,-,-,5,Afghanistan
78,CAK Rajitha,2019-2019,2,2,108,-,123,2,61.50,54.0,6.83,1/47,-,-,-,-,Sri Lanka
79,Rashid Khan,2019-2019,9,8,431,1,416,6,69.33,71.8,5.79,2/17,-,-,-,1,Afghanistan
80,KW Richardson,2019-2019,2,2,106,1,109,5,21.80,21.2,6.16,3/47,-,-,-,2,Australia
81,KAJ Roach,2019-2019,4,4,198,4,121,6,20.16,33.0,3.66,3/36,-,-,-,-,West Indies
82,Rubel Hossain,2019-2019,2,2,102,-,131,1,131.00,102.0,7.70,1/48,-,-,-,3,Bangladesh
83,AD Russell,2019-2019,4,4,114,1,101,5,20.20,22.8,5.31,2/4,-,-,-,-,West Indies
84,Sabbir Rahman,2019-2019,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
85,Samiullah Shinwari,2019-2019,3,1,48,-,32,-,-,-,4.00,-,-,-,-,-,Afghanistan
86,Sarfaraz Ahmed,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,1,13,Pakistan
87,Sayed Shirzad,2019-2019,1,1,48,-,56,1,56.00,48.0,7.00,1/56,-,-,-,-,Afghanistan
88,Shadab Khan,2019-2019,7,6,348,1,320,9,35.55,38.6,5.51,3/50,-,-,-,1,Pakistan
89,Shaheen Shah Afridi,2019-2019,5,5,283,3,234,16,14.62,17.6,4.96,6/35,1,-,-,-,Pakistan
90,T Shamsi,2019-2019,2,2,108,-,116,-,-,-,6.44,-,-,-,-,-,South Africa
91,V Shankar,2019-2019,3,1,32,-,22,2,11.00,16.0,4.12,2/22,-,-,-,2,India
92,Shakib Al Hasan,2019-2019,8,8,444,1,399,11,36.27,40.3,5.39,5/29,1,-,-,3,Bangladesh
93,Shoaib Malik,2019-2019,3,3,48,-,47,1,47.00,48.0,5.87,1/10,-,-,-,2,Pakistan
94,TAM Siriwardana,2019-2019,1,1,12,-,17,-,-,-,8.50,-,-,-,-,1,Sri Lanka
95,IS Sodhi,2019-2019,1,1,36,-,35,-,-,-,5.83,-,-,-,-,-,New Zealand
96,Soumya Sarkar,2019-2019,8,2,84,-,91,4,22.75,21.0,6.50,3/58,-,-,-,7,Bangladesh
97,TG Southee,2019-2019,1,1,54,-,70,1,70.00,54.0,7.77,1/70,-,-,-,-,New Zealand
98,Tamim Iqbal,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,3,Bangladesh
99,HDRL Thirimanne,2019-2019,5,-,0,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka
100,O Thomas,2019-2019,9,9,349,1,380,9,42.22,38.7,6.53,4/27,-,-,-,-,West Indies
101,I Udana,2019-2019,7,7,309,-,296,6,49.33,51.5,5.74,2/41,-,-,-,3,Sri Lanka
102,HE van der Dussen,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,3,South Africa
103,JDF Vandersay,2019-2019,1,1,42,-,50,1,50.00,42.0,7.14,1/50,-,-,-,1,Sri Lanka
104,JM Vince,2019-2019,3,-,0,-,-,-,-,-,-,-,-,-,-,-,England
105,Wahab Riaz,2019-2019,8,8,400,1,400,11,36.36,36.3,6.00,3/46,-,-,-,4,Pakistan
106,A Zampa,2019-2019,4,4,198,-,236,5,47.20,39.6,7.15,3/60,-,-,-,1,Australia
107,JC Archer,2019-2019,11,11,605,8,461,20,23.05,30.2,4.57,3/27,-,-,-,2,England
108,JM Bairstow,2019-2019,11,-,0,-,-,-,-,-,-,-,-,-,-,9,England
109,JP Behrendorff,2019-2019,5,5,265,2,227,9,25.22,29.4,5.13,5/44,1,-,-,1,Australia
110,TA Boult,2019-2019,10,10,594,4,479,17,28.17,34.9,4.83,4/30,-,-,-,7,New Zealand
111,JJ Bumrah,2019-2019,9,9,504,9,371,18,20.61,28.0,4.41,4/55,-,-,-,1,India
112,JC Buttler,2019-2019,11,-,0,-,-,-,-,-,-,-,-,-,2,12,England
113,AT Carey,2019-2019,10,-,0,-,-,-,-,-,-,-,-,-,2,18,Australia
114,YS Chahal,2019-2019,8,8,444,-,442,12,36.83,37.0,5.97,4/51,-,-,-,4,India
115,PJ Cummins,2019-2019,10,10,517,6,427,14,30.50,36.9,4.95,3/33,-,-,-,4,Australia
116,C de Grandhomme,2019-2019,10,10,306,4,212,6,35.33,51.0,4.15,1/14,-,-,-,3,New Zealand
117,MS Dhoni,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,3,7,India
118,LH Ferguson,2019-2019,9,9,502,3,409,21,19.47,23.9,4.88,4/37,-,-,-,2,New Zealand
119,AJ Finch,2019-2019,10,2,18,-,20,1,20.00,18.0,6.66,1/13,-,-,-,5,Australia
120,MJ Guptill,2019-2019,10,-,0,-,-,-,-,-,-,-,-,-,-,8,New Zealand
121,PSP Handscomb,2019-2019,1,-,0,-,-,-,-,-,-,-,-,-,-,-,Australia
122,MJ Henry,2019-2019,9,9,482,5,392,14,28.00,34.4,4.87,4/47,-,-,-,3,New Zealand
123,RA Jadeja,2019-2019,2,2,120,-,74,2,37.00,60.0,3.70,1/34,-,-,-,3,India
124,KD Karthik,2019-2019,3,-,0,-,-,-,-,-,-,-,-,-,-,3,India
125,V Kohli,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,6,India
126,B Kumar,2019-2019,6,6,310,1,269,10,26.90,31.0,5.20,3/43,-,-,-,1,India
127,TWM Latham,2019-2019,10,-,0,-,-,-,-,-,-,-,-,-,-,21,New Zealand
128,NM Lyon,2019-2019,4,4,204,-,181,3,60.33,68.0,5.32,2/53,-,-,-,1,Australia
129,GJ Maxwell,2019-2019,10,8,294,1,295,-,-,-,6.02,-,-,-,-,4,Australia
130,EJG Morgan,2019-2019,11,-,0,-,-,-,-,-,-,-,-,-,-,4,England
131,JDS Neesham,2019-2019,10,9,327,2,292,15,19.46,21.8,5.35,5/31,1,-,-,4,New Zealand
132,HM Nicholls,2019-2019,4,-,0,-,-,-,-,-,-,-,-,-,-,-,New Zealand
133,HH Pandya,2019-2019,9,9,474,1,447,10,44.70,47.4,5.65,3/60,-,-,-,3,India
134,RR Pant,2019-2019,4,-,0,-,-,-,-,-,-,-,-,-,-,1,India
135,LE Plunkett,2019-2019,7,7,336,-,272,11,24.72,30.5,4.85,3/42,-,-,-,1,England
136,KL Rahul,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,1,India
137,AU Rashid,2019-2019,11,11,552,-,526,11,47.81,50.1,5.71,3/54,-,-,-,3,England
138,JE Root,2019-2019,11,3,60,-,55,2,27.50,30.0,5.50,2/27,-,-,-,13,England
139,JJ Roy,2019-2019,8,-,0,-,-,-,-,-,-,-,-,-,-,1,England
140,MJ Santner,2019-2019,10,9,402,4,323,6,53.83,67.0,4.82,2/34,-,-,-,3,New Zealand
141,RG Sharma,2019-2019,9,-,0,-,-,-,-,-,-,-,-,-,-,4,India
142,SPD Smith,2019-2019,10,3,24,-,32,1,32.00,24.0,8.00,1/6,-,-,-,3,Australia
143,MA Starc,2019-2019,10,10,554,5,502,27,18.59,20.5,5.43,5/26,2,-,-,3,Australia
144,MP Stoinis,2019-2019,8,8,240,1,244,7,34.85,34.2,6.10,2/37,-,-,-,3,Australia
145,BA Stokes,2019-2019,11,11,305,1,246,7,35.14,43.5,4.83,3/23,-,-,-,3,England
146,LRPL Taylor,2019-2019,10,-,0,-,-,-,-,-,-,-,-,-,-,-,New Zealand
147,DA Warner,2019-2019,10,-,0,-,-,-,-,-,-,-,-,-,-,4,Australia
148,KS Williamson,2019-2019,10,2,90,-,64,2,32.00,45.0,4.26,1/25,-,-,-,6,New Zealand
149,CR Woakes,2019-2019,11,11,510,6,446,16,27.87,31.8,5.24,3/20,-,-,-,8,England
150,MA Wood,2019-2019,10,10,538,2,463,18,25.72,29.8,5.16,3/18,-,-,-,-,England
